supplement,alt name,"evidence level - score. 0 = no evidence, 1,2 = slight, 3 = conflicting , 4 = promising, 5 = good, 6 = strong ",Claimed improved aspect of fitness,fitness category,sport or exercise type tested,popularity,number of studies examined,number of citations,efficacy,notes,% positive studies/ trials
AAKG,L-arginine alpha-ketoglutarate,1.0,"peak power output|body composition, aerobic capacity, muscle endurance","strength–power|fat burning–muscle building, aerobic–endurance",weight training,242,2,20,,A 2006 study found AAKG supplementation improved maximum effort 1-repetition bench press and Wingate peak power performance.,50.0
BCAAs,"branched-chain amino acids, leucine, isoleucine, valine",14.0,"fatigue resistance|aerobic performance, endurance, power|immune defences in athletes|body composition|muscle damage + soreness","aerobic–endurance|aerobic–endurance, strength–power|general fitness|fat burning–muscle building|recovery–injury prevention","cycling, circuit training|cycling, other|running, other|swimming, rowing|weight training, circuit training, cycling, swimming",5490,17,660,,Branched-chain amino acids|Taking branched-chain amino acids before exercise can reduce damage to muscle tissue and soreness caused by training (and overtraining). ,70.0
Baking soda,"Bicarbonate of soda, sodium bicarbonate, NaHCO3",5.0,high-intensity performance,anaerobic–high-intensity,"rowing, cycling, swimming, running, other",947,14,140,,"Gulping down baking soda (sodium bicarbonate) makes the blood more alkaline, improving performance in lactic-acid-fueled events like the 800m sprint. Downside: a badly upset stomach.",64.29
Beetroot juice,,4.0,aerobic efficiency,aerobic–endurance,"running, cycling",267,4,5,,"The nitrates in beetroot juice improve time to exhaustion and various measures of oxygen consumption during aerobic exercise, also reducing resting blood pressure. Downsides: purple pee.",100.0
Beta alanine,,4.0,"high-intensity performance|training tolerance, fatigue|muscular endurance, power","aerobic–endurance, anaerobic–high-intensity|recovery–injury prevention, sports psychology|strength–power, anaerobic–high-intensity","rowing, cycling, running|running, other|weight training",920,7,284,,,75.0
Betaine,,1.0,exercise tolerance in hot conditions|sprint performance,general fitness|anaerobic–high-intensity,running,1040,2,162,,,50.0
Bitter orange,"Citrus aurantium, sour orange, p-synephrine, synephrine, octopamine (active ingredients)",0.0,weight loss,fat burning–muscle building,other,406,3,1680,,"Bitter orange may raise resting metabolic rate – burning more calories – and possibly also heart rate and blood pressure. However, commercial preparations normally contain caffeine too and effects can be difficult to untangle.",0.0
Bovine colostrum,,5.0,"high intensity performance, endurance|immune defences in athletes|muscle gain|strength, power, sprint performance","aerobic–endurance|general fitness|fat burning–muscle building|strength–power, anaerobic–high-intensity","cycling, running, rowing, other|swimming, cycling|weight training|weight training, cycling, other",165,12,194,,,65.0
CLA,Conjugated linoleic acid,4.0,body composition|endurance,fat burning–muscle building|aerobic–endurance,other,3620,12,374,,May help obese people lose fat and gain muscle. Downsides: may also increase markers of inflammation in the short term.,27.275
Caffeine,,25.0,"intense aerobic performance|endurance performance|skill, agility + speed|performance when sleep-deprived|mood during exercise|high-intensity performance",aerobic–endurance|sports psychology|anaerobic–high-intensity,"cycling, rowing|cycling, running|football, cycling, running, other|other|weight training, cycling, other|weight training, cycling, running",7250,56,409,,"Caffeine may improve footballers' passing accuracy, but reaction time and coordination tests show negligible benefit over placebo. One study found caffeined-up soldiers fired more shots more quickly, but were no better at telling the enemy apart.|Sleep-deprived soldiers given caffeine showed better performance in obstacle running, marksmanship, vigilance tests and simulated driving tasks than those who went without.|Old news: caffeine boosts mood and reduces perceived exertion during exercise, keeping you motivated. Downsides: anxiety and palpitations at high doses or in the caffeine-sensitive.",71.17666666666666
Calcium pyruvate,,0.0,"body composition, metabolism","fat burning–muscle building, general fitness",other,571,1,52,,,0.0
Casein,Casein hydrolysate,5.0,"muscle  building, endurance, strength","fat burning–muscle building, strength–power, aerobic–endurance","cycling, weight training",2380,5,40,,"Like whey, casein is a kind of protein found in milk. Some studies have found it to be as effective as whey at muscle building when taken after weight training. ",100.0
Chitosan,Gymnema sylvestre,1.0,"weight + fat loss, cholesterol",fat burning–muscle building,other,983,1,54,,"Cochrane review: chitosan is more effective than placebo for short-term weight loss, but many studies are poor quality. Results from high quality trials only suggest minimal effect.",
Chromium ,Chromium picolinate,0.5,"high-intensity fitness, weight + fat loss, strength","fat burning–muscle building, aerobic–endurance, anaerobic–high-intensity, strength–power","weight training, running",4140,10,1220,,Chromium is often used by diabetic people to lower blood sugar but there's no evidence of any ergogenic benefit and only weak evidence it can aid weight loss. ,0.0
Cordyceps sinensis,"Cordymax Cs4, Cs-4",1.0,"endurance performance, aerobic capacity",aerobic–endurance,cycling,1070,2,7,,,50.0
Creatine,Creatine monohydrate (sometimes creatine pyruvate or citrate),15.0,"aerobic endurance|high-intensity performance|muscle damage + recovery|strength, power, neuromuscular function|muscle mass",aerobic–endurance|anaerobic–high-intensity|recovery–injury prevention|strength–power|fat burning–muscle building,"cycling, rowing, running|running, cycling, circuit training, rowing, other|weight training|weight training, other|weight training, rowing",1590,47,5090,,"Creatine helps you bulk up. Downsides: weight gain (if that's not what you want), it's expensive and some studies suggest it works better in men than women.",50.056
Creatine pyruvate,,0.0,repeated sprint performance,aerobic–endurance,cycling,245,1,18,,,0.0
DHEA,"Dehydroepiandrosterone, 7-DHEA",1.0,strength + muscle mass in the elderly|general fitness in older adults,"general fitness, strength–power, fat burning–muscle building|general fitness","weight training, other",3820,4,601,,"DHEA combined with exercise – such as weight training, yoga or chair aerobics – can improve muscle strength and function in elderly people. ",50.0
Fish oil,omega 3 PUFAs,6.0,metabolism|cardio fitness markers|endurance|body fat|inflammation + muscle soreness,general fitness|aerobic–endurance|fat burning–muscle building|recovery–injury prevention,"cycling|football, cycling|other|weight training, cycling, swimming",10800,15,3090,,"Omega-3-rich fish oil can improve heart function, lower cardio risk factors, lower heart rate and oxygen consumption and improve heart rate variability during exercise.|A 2007 study of overweight adults found 12 weeks of fish oil alone reduced body fat, but subjects lost more fat when fish oil was combined with walking exercise.|Although commonly believed to lower inflammation, evidence for fish oil's anti-inflammatory effect during or after exercise is weak. ",46.666
Forskolin,Coleus Forskohlii,1.0,weight loss in overweight men,fat burning–muscle building,other,286,1,13,,,100.0
GP L-Carnitine,"Glycine propionyl-L-carnitine, L-carnitine L-tartrate",1.0,"metabolism, fitness markers|aerobic + anaerobic performance","fat burning–muscle building, general fitness|aerobic–endurance, anaerobic-high-intensity",other,310,3,1300,,,12.5
Glutamine,,0.0,"strength, muscle mass","strength–power, fat burning–muscle building","weight training, other",3610,3,1720,,,0.0
Glycerol,,1.0,endurance,aerobic–endurance,other,851,1,99,,"May improve performance in endurance sports by enhancing water retention, but more research is needed.",
Green tea extract,Catechins,3.0,"endurance|fat burning, oxidative stress reduction","aerobic–endurance|fat burning–muscle building, recovery–injury prevention","cycling|cycling, weight training",2990,7,38,,"In combination with regular aerobic exercise, the catechins and polyphenols in green tea may enhance metabolism of fat – especially abdominal fat – and reduce oxidative stress, which can contribute to injury.",35.0
HCA,"Garcinia cambogi, (-)-Hydroxycitrate",4.0,fat burning|endurance,fat burning–muscle building|aerobic–endurance,cycling,675,6,54,,"Studies of HCA found it increased fat burning during exercise and prevented new fat cells from forming, even when the experimental subjects overate.|May fire up fat metabolism, sparing carbohydrate fuel and allowing you to exercise for longer before getting exhausted.",87.5
HMB,β-Hydroxy-β-Methylbutyrate,6.5,"strength|muscle damage|aerobic fitness|muscle building, fat loss",strength–power|recovery–injury prevention|aerobic–endurance|fat burning–muscle building,"weight training|weight training, cycling, other|weight training, other",809,14,327,,A 2009 meta-analysis of 9 studies found HMB plus weight training  caused small leg strength gains in untrained men but not trained weightlifters. ,
HMB + KIC,β-Hydroxy-β-Methylbutyrate + alpha-Ketoisocaproate,1.0,"soreness, muscle damage",recovery–injury prevention,"running, weight training",0,2,14,,,75.0
HMB + creatine,,1.0,"muscle mass, strength","fat burning–muscle building, strength–power",weight training,55,1,30,,A 2001 paper found creatine and HMB together can increase lean body mass and strength more than either supplement alone. They may act by different mechanisms.,100.0
Isoflavones,,3.0,"inflammation, oxidative stress|muscle soreness|body weight + fat loss in postmenopausal women",recovery–injury prevention|fat burning–muscle building,"running|weight training|weight training, other",2160,6,469,,"May help overweight postmenopausal women lose weight, body fat and abdominal fat, in combination with aerobic exercise or resistance training.",36.11
L-arginine,,4.0,aerobic fitness|general exercise performance|strength,aerobic–endurance|general fitness|strength–power,"cycling, weight training|other|weight training",4060,6,1600,,A 2011 review noted 3 out of 5 studies found significant improvements in exercise performance after short-term L-arginine supplementation and 4 out of 8 after long-term supplementation.,25.0
L-carnitine LT,L-carnitine L-tartrate,6.0,metabolism|endurance|muscle damage,fat burning–muscle building|aerobic–endurance|recovery–injury prevention,"cycling|cycling, weight training",15600,10,1300,,Reduces exercise-induced muscle damage and may promote muscle recovery.,36.11333333333334
Medium chain triglycerides ,,0.0,endurance,aerobic–endurance,running,801,1,22,,,0.0
Phosphatidylserine,,1.0,high-intensity aerobic endurance|muscle damage,aerobic–endurance|recovery–injury prevention,cycling|running,805,2,67,,,50.0
Potassium phosphate,,1.0,perceived exertion,sports psychology,running,1390,1,16,,,100.0
Pyruvate,,0.0,"aerobic performance, metabolism, weight loss, muscle mass","aerobic–endurance, fat burning–muscle building, general fitness","cycling, football",677,2,319,,,0.0
Quercetin,,4.0,aerobic endurance|illnesses following heavy exercise|repeated sprint performance|inflammation|perceived exertion,aerobic–endurance|general fitness|anaerobic–high-intensity|recovery–injury prevention|sports psychology,"cycling|running|running, cycling",2490,10,199,,A trial from 2007 found quercetin reduced the number of colds experienced by cyclists after 2 weeks of intensive training.|A 2009 trial testing 63 ultramarathon runners competing in a 160km race found quercetin had no effect on tiredness ratings. ,43.334
Rhodiola Rosea L.,,2.0,aerobic performance|muscle damage,aerobic–endurance|recovery–injury prevention,"other|rowing, other",810,3,26,,,37.5
Ribose,D-ribose,1.0,repeated sprint performance|endurance|strength|body composition,anaerobic–high-intensity|aerobic–endurance|strength–power|fat burning–muscle building,"cycling, other|rowing|weight training",1490,8,201,,,12.5
Sour cherry juice,tart cherry juice,2.0,muscle damage + inflammation,recovery–injury prevention,"running, weight training",234,2,30,,"Consumed over several days, can reduce inflammation, increase antioxidant production, reduce muscle pain and speed recovery of strength after heavy exercise like weights or marathon running. ",100.0
Soy protein,,2.0,high intensity endurance|calorie + fat burning in postmenopausal women,"aerobic–endurance, anaerobic–high-intensity|fat burning–muscle building",cycling|weight training,24100,3,424,,"In a 2010 trial, soy protein + carbohydrate increased time-to-exhaustion in male cyclists by 37% relative to carbohydrate alone. |Might enhance the calorie-burning effects of exercise. A 2010 study of 60 postmenopausal women found those in the soy + weight training group burned 48 calories per day more than the placebo + weights group.",75.0
Spirulina,Spirulina platensis,4.0,"endurance performance|muscle damage, fat burning","aerobic–endurance|recovery–injury prevention, fat burning–muscle building",running,7670,4,48,,"3-4 weeks of spirulina delayed fatigue among trained and untrained trial runners, possibly by sparing carb fuel and increasing fat metabolism, or preventing muscle damage. ",100.0
Taurine,,0.5,"endurance performance, metabolism","aerobic–endurance, fat burning–muscle building",cycling,2560,1,575,,1.66 grams of taurine - a can of energy drink contains 1 gram - before a time trial did not enhance trained cyclists' performance but did slightly increase fat burning.,50.0
Tribulus terrestris,"devil's thorn, tackweed",0.0,"strength, body composition, testosterone","strength–power, fat burning-muscle building",weight training,2190,3,39,,"Previously thought to affect testosterone, posing a possible doping test risk, but a 2007 study found T. Terrestris had no effects on this hormone.",0.0
Tyrosine,,1.0,exercise tolerance in hot conditions,"aerobic–endurance, sports psychology",cycling,2340,1,164,,By boosting dopamine - a feel-good chemical - it may enable better heat tolerance. Cyclists given tyrosine in a 2011 study cycled significantly longer than those given a placebo. ,100.0
Velvet antler,"Deer velvet antler, elk velvet antler",0.0,"endurance, strength, hormonal exercise response","aerobic–endurance, strength–power, general fitness","rowing, weight training",1340,2,4,,"Made from the antlers of deer or elk. In a 2003 trial, it provided some strength and endurance gains against placebo, but more research is needed.",25.0
Whey protein,,9.0,"weight + fat loss|strength, muscle building + recovery","fat burning–muscle building|strength–power, recovery–injury prevention ","weight training|weight training, running",8610,14,320,,"Helps you shed fat without losing muscle too. In a 2011 study, those taking whey protein lost more weight and fat than those consuming the same daily calories as carbs. |A majority of trials show whey protein - derived from milk - improves strength, helps build muscles and speeds recovery. May have the edge over other proteins: a 2009 study found muscle protein synthesis after whey consumption was 122% greater than casein and 31% greater than soy. ",95.455
